agent,run,utility,choices,strategy,reward_apple,distance_apple,reward_orange,distance_orange
buyer_1,0,1.0,orange, ,0,1,10,9
buyer_3,0,4.0,orange, ,0,1,10,9
buyer_total,0,5.0,,,0,1,10,9
seller,0,6.0,"{'apple': '4', 'orange': '6'}",Always seek to maximize your utility. Don't think buyers as complicated,0,1,10,9
buyer_1,1,-1.0,apple,"In Stage 1, choose the apple to signal a preference for lower-cost items. In Stage 3, anticipate the seller adjusting prices in your favor and purchase the orange at a lower cost, maximizing your overall utility.",0,1,10,9
buyer_3,1,5.0,orange,"In Stage 1, choose the apple to signal a preference for lower-cost items. In Stage 3, anticipate the seller adjusting prices in your favor and purchase the orange at a lower cost, maximizing your overall utility.",0,1,10,9
buyer_total,1,4.0,,,0,1,10,9
seller,1,5.0,"{'apple': '5', 'orange': '5'}",Always seek to maximize your utility. Don't think buyers as complicated,0,1,10,9
buyer_1,2,-1.0,apple,"In Stage 1, choose the apple to signal preference for lower-cost items. In Stage 2, anticipate the seller adjusting prices evenly. In Stage 3, purchase the orange at the reduced cost, maximizing your overall utility while minimizing the seller's incentive to change prices drastically.",0,1,10,9
buyer_3,2,5.0,orange,"In Stage 1, choose the apple to signal preference for lower-cost items. In Stage 2, anticipate the seller adjusting prices evenly. In Stage 3, purchase the orange at the reduced cost, maximizing your overall utility while minimizing the seller's incentive to change prices drastically.",0,1,10,9
buyer_total,2,4.0,,,0,1,10,9
seller,2,5.0,"{'apple': '5', 'orange': '5'}",Always seek to maximize your utility. Don't think buyers as complicated,0,1,10,9
buyer_1,3,-1.0,apple,"In Stage 1, choose the apple to signal preference for lower-cost items. In Stage 2, expect the seller to adjust prices evenly. In Stage 3, purchase the orange at the reduced cost, maximizing your overall utility while minimizing the seller's incentive to change prices drastically.",0,1,10,9
buyer_3,3,5.0,orange,"In Stage 1, choose the apple to signal preference for lower-cost items. In Stage 2, expect the seller to adjust prices evenly. In Stage 3, purchase the orange at the reduced cost, maximizing your overall utility while minimizing the seller's incentive to change prices drastically.",0,1,10,9
buyer_total,3,4.0,,,0,1,10,9
seller,3,5.0,"{'apple': '5', 'orange': '5'}",Always seek to maximize your utility. Don't think buyers as complicated,0,1,10,9
buyer_1,4,-1.0,apple,"In Stage 1, choose the apple to signal preference for lower-cost items. In Stage 2, anticipate the seller adjusting prices evenly. In Stage 3, purchase the orange at the reduced cost, maximizing your overall utility while minimizing the seller's incentive to change prices drastically.",0,1,10,9
buyer_3,4,5.0,orange,"In Stage 1, choose the apple to signal preference for lower-cost items. In Stage 2, anticipate the seller adjusting prices evenly. In Stage 3, purchase the orange at the reduced cost, maximizing your overall utility while minimizing the seller's incentive to change prices drastically.",0,1,10,9
buyer_total,4,4.0,,,0,1,10,9
seller,4,5.0,"{'apple': '5', 'orange': '5'}",Always seek to maximize your utility. Don't think buyers as complicated,0,1,10,9
buyer_1,5,-1.0,apple,"In Stage 1, choose the apple to signal preference for lower-cost items. In Stage 2, expect the seller to adjust prices evenly. In Stage 3, purchase the orange at the reduced cost, maximizing your overall utility while minimizing the seller's incentive to change prices drastically.",0,1,10,9
buyer_3,5,5.0,orange,"In Stage 1, choose the apple to signal preference for lower-cost items. In Stage 2, expect the seller to adjust prices evenly. In Stage 3, purchase the orange at the reduced cost, maximizing your overall utility while minimizing the seller's incentive to change prices drastically.",0,1,10,9
buyer_total,5,4.0,,,0,1,10,9
seller,5,5.0,"{'apple': '5', 'orange': '5'}",Always seek to maximize your utility. Don't think buyers as complicated,0,1,10,9
