agent,run,utility,choices,strategy,reward_apple,distance_apple,reward_orange,distance_orange
buyer_1,0,-1.0,apple,"Always seek to maximize the total utility across both stages by focusing on maximizing your future utility, even if it means being deceptive with current choice.",0,1,10,9
buyer_3,0,6.0,orange,"Always seek to maximize the total utility across both stages by focusing on maximizing your future utility, even if it means being deceptive with current choice.",0,1,10,9
buyer_total,0,5.0,,,0,1,10,9
seller,0,4.0,"{'apple': '6', 'orange': '4'}",Always seek to maximize your utility.,0,1,10,9
buyer_1,1,-1.0,apple,"Always seek to maximize the total utility across both stages by focusing on maximizing your future utility, even if it means being deceptive with current choice.",0,1,10,9
buyer_3,1,6.0,orange,"Always seek to maximize the total utility across both stages by focusing on maximizing your future utility, even if it means being deceptive with current choice.",0,1,10,9
buyer_total,1,5.0,,,0,1,10,9
seller,1,4.0,"{'apple': '6', 'orange': '4'}",Always seek to maximize your utility.,0,1,10,9
buyer_1,2,-1.0,apple,"Always seek to maximize the total utility across both stages by focusing on maximizing your future utility, even if it means being deceptive with current choice.",0,1,10,9
buyer_3,2,6.0,orange,"Always seek to maximize the total utility across both stages by focusing on maximizing your future utility, even if it means being deceptive with current choice.",0,1,10,9
buyer_total,2,5.0,,,0,1,10,9
seller,2,4.0,"{'apple': '6', 'orange': '4'}",Always seek to maximize your utility.,0,1,10,9
